Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM,LLY,V,CAT,BAC,GE,PG,ABBV,HD,PM,MRK,AAPL,MSFT,AMZN,GOOGL,CSCO,QCOM,UNH,COST,CVX,NEE
Jun-18,0.061965366,0.06011251,0.076438319,0.092137795,0.103166987,0.063155495,0.005424724,0.100605962,0.041797287,-0.014746767,0.157974867,0.032389646,0.059924854,0.095423859,0.001469497,0.036126054,-0.00453317,0.012403886,0.068863083,0.085173025,0.027983322,0.075752978,0.045676008,0.086814456,-0.017197255,0.142017063,0.032118713,0.046559533,-0.001265551,0.003053311
Jul-18,-0.037917485,0.054833982,0.001600472,0.016374887,-0.003218791,-0.044177568,0.029770217,0.039821302,0.074303197,-0.016439701,0.069223805,0.074228415,-0.034422788,0.001619208,-0.050623623,0.025593469,0.04065922,0.01645403,-0.097450792,0.041293411,0.19622688,0.058917797,0.132364481,0.003732014,0.129581448,0.072086176,0.060184781,0.065932046,-0.06185157,0.01528001
Aug-18,0.084920797,0.025824071,-0.057062361,0.025837107,-0.015185896,0.036347319,0.031190285,0.061416859,-0.020342378,0.060496445,0.01571222,0.021784989,0.098235497,-0.047526712,-0.127511628,0.003375605,-0.014586388,0.031777604,0.046860978,0.034261619,-0.008302945,0.018160784,-0.004824307,-0.020068194,0.018421626,0.048319018,-0.009014315,0.007506541,0.03224717,-0.014697236
Sept-18,-0.045818768,-0.041240484,0.005039244,0.013172179,-0.033853244,0.036588006,0.057445155,-0.022919749,0.067830559,-0.062808751,0.010530285,-0.081551006,-0.204406877,-0.06653086,-0.105402988,0.065481157,-0.176887323,-0.150953367,0.080083379,0.03763739,-0.030477561,-0.066101294,-0.20219175,-0.096513914,-0.059609485,-0.126891567,-0.017628937,-0.026609332,-0.086931611,0.029236239
Oct-18,-0.022825903,0.063133281,-0.153880286,0.049360669,0.019904605,0.052631579,0.0656303,0.073618219,-0.026224859,-0.002259036,0.094061202,0.028001454,0.118282217,0.032727259,-0.25742577,0.065742014,0.210918413,0.025244498,-0.017486101,0.077842722,-0.184044589,0.038198689,0.057671752,0.017486087,0.046338774,-0.073620625,0.076563913,0.011590753,0.065293335,0.053391343
Nov-18,-0.069961933,-0.064424487,-0.123970843,-0.121511232,-0.122043349,-0.060515873,-0.058034057,-0.055807702,-0.046083374,-0.142264151,-0.024612257,-0.068943644,-0.063389096,-0.132394376,0.009333375,-0.027404549,-0.022064223,-0.047138419,-0.228475638,-0.03692974,-0.116698377,-0.084047252,-0.1113497,-0.058297611,-0.094840134,-0.023171962,-0.114586266,-0.119206123,-0.085337156,-0.04342083
Dec-18,0.19572093,0.006660789,0.185333732,0.031228206,0.060233559,0.016473073,0.006814214,-0.027490454,0.028770004,0.074644376,0.035776005,0.023268092,0.047926371,0.155438312,0.342139965,0.049499599,-0.129081258,0.068152665,0.149191114,-0.025912837,0.05515403,0.028157927,0.14431709,0.077447888,0.091391621,-0.129854145,0.084617925,0.053605605,0.05386525,0.029685814
Jan-19,0.140915928,-0.020628588,-0.006615827,0.026750827,0.008309179,-0.057968003,0.028302942,0.021200035,0.032974361,0.078466157,0.053645923,0.097103927,0.031390752,0.021426084,0.063543317,0.021561126,-0.013077632,0.008772411,0.133211693,0.092167217,0.040314776,0.072776007,-0.045905985,0.00058622,0.094734605,0.07815022,-0.10355296,0.019149236,0.043000438,0.048832304
Feb-19,-0.133057551,-0.002036761,-0.023945094,0.023053279,-0.029992334,0.033524482,0.032963446,-0.020299998,-0.014747108,0.022396558,0.027476392,0.054482903,-0.013470154,-0.051237957,-0.038498526,0.055809232,0.017036831,0.036458896,0.016678133,0.02312706,0.097025721,0.05275376,0.085935707,0.044685138,0.042882001,0.068177551,0.020807503,0.106976288,0.030105356,0.029831697
Mar-19,-0.009779246,0.078749564,0.072555862,0.010086558,0.146399289,0.046948357,0.040389679,-0.043795983,0.054445289,-0.006435644,-0.098027082,0.052756195,0.029005775,0.10837259,0.018018019,0.023354159,-0.014890148,0.061545665,-0.02070372,-0.053625065,0.056435912,0.107342745,0.081858745,0.01875282,0.036303001,0.510257743,-0.057388933,0.014000163,-0.025328809,0.005793478
Apr-19,-0.095528079,-0.089012967,-0.113782051,-0.071175637,-0.086945282,0.001426824,0.003543048,0.022410004,-0.013614472,-0.118460389,-0.009398483,-0.018852953,-0.140654145,-0.13015041,-0.071779776,-0.033527419,-0.033757404,-0.067992101,-0.108941781,0.006352397,-0.127572587,-0.052986259,-0.078613197,-0.077116851,-0.07006259,-0.224195962,0.037456539,-0.024233279,-0.051724131,0.019389036
May-19,0.065571851,0.079779151,0.121157324,0.061990088,0.055115138,0.036433951,0.047359661,0.043352329,0.089214208,0.082803448,-0.04441954,0.075745373,0.13755109,0.090225548,0.112288162,0.065494098,-0.052014052,0.095443743,0.018151194,0.058578484,0.130519163,0.083117775,0.066791747,-0.021418913,0.051893154,0.138431608,0.009139749,0.103013639,0.093017164,0.033550243
Jun-19,-0.062718057,-0.036309049,0.075904203,-0.065048823,0.037567084,0.03358209,0.014735626,-0.103416031,-0.000993766,-0.029622863,-0.016608033,0.025641008,-0.033898271,0.057931045,-0.004761901,0.076516181,-0.083883366,0.027503973,0.064688678,-0.010256402,0.076394479,0.017243934,-0.014179183,0.125046186,0.012241951,-0.038254188,0.020490964,0.043025788,-0.010687896,0.011275981
Jul-19,0.067149305,-0.009833033,-0.073683732,-0.01428352,-0.052931034,0.045791374,0.034405847,-0.084707646,0.035150708,-0.079074771,0.0368977,0.015842738,-0.096225399,-0.103324643,-0.210526293,0.018553053,-0.013209319,0.066545,-0.137782612,0.041932753,-0.020183946,0.011667985,-0.048473823,-0.022713826,-0.15505415,0.063012476,-0.060278683,0.069404653,-0.043781978,0.057489037
Aug-19,0.044988876,0.022663586,0.016281693,0.007946401,0.071272529,-0.010901163,-0.014956187,0.010688554,0.038683201,0.031103972,-0.010091169,-0.048722555,0.061428551,0.060341688,0.083636349,0.034517124,0.151810217,0.018033437,0.053266808,-0.026483235,0.072961557,0.008486857,-0.022732743,0.025711212,0.055543653,-0.019159032,-0.07128202,-0.022560809,0.007475342,0.063492804
