Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM
May-20,0.256770655,-0.038096778,0.005750929,-0.054588235,-0.033398417,-0.042844901,-0.009929154,-0.143753695,-0.034498185,-0.016494392
Jun-20,-0.138025095,0.09674528,0.001720474,0.036478703,0.0274293,0.057296329,0.053179379,0.176756565,0.080312977,-0.059033989
Jul-20,0.087468354,0.11369905,0.034906042,0.052483535,0.036734272,0.048475868,0.099032324,-0.017931798,0.0730301,-0.050855513
Aug-20,-0.03817949,-0.023390204,-0.019036462,-0.029528714,-0.039125661,-0.003230365,0.02795991,-0.028841806,0.007633489,-0.140460691
Sept-20,-0.126285853,-0.05184559,-0.059362094,-0.079056959,0.01838579,-0.026534333,-0.029568545,-0.033242502,-0.008291842,-0.049810661
Oct-20,0.459311587,0.133779099,0.219741854,0.055211144,0.202366381,0.073657928,0.02084507,0.139049692,0.101190283,0.168914776
Nov-20,0.015898628,0.012930846,0.143681152,0.087779928,0.077960638,0.062790698,-0.013153054,-0.039154268,-0.056548759,0.081038552
Dec-20,-0.092824442,-0.017251046,0.02828865,0.036535773,0.012591485,-0.121991247,-0.031410197,-0.024721543,-0.025390483,0.087821446
Jan-21,0.091765796,0.055470224,0.178153926,-0.028627475,0.143778659,0.017445483,-0.008179369,-0.067130919,-0.075236763,0.212533452
Feb-21,0.201452762,0.062201156,0.02353825,0.037170264,0.034382007,0.075933864,0.087319298,0.081815467,0.045490022,0.026853044
Mar-21,-0.080127198,0.076251615,0.06559633,-0.009857012,0.010379032,0.0240941,0.053270278,0.066795473,0.030037857,0.025255239
Apr-21,0.054244377,0.052700491,0.067642416,0.040066368,0.067810936,0.024268247,-0.009276516,0.002069858,0.015153464,0.01974144
May-21,-0.030199984,-0.039800995,0.020187087,-0.026646972,-0.052971262,-0.021342015,-0.012398991,0.011102505,-0.007111943,0.080692136
Jun-21,-0.0546001,0.001331318,-0.012251996,0.045283477,-0.024173846,0.053964147,0.050738127,0.093207354,0.010849633,-0.087349398
Jul-21,-0.030819498,0.026878436,0.103046308,0.005400697,0.053827909,-0.012624934,-0.021630753,0.076150432,0.03893409,-0.052978982
Aug-21,0.002004556,-0.044896245,-0.085802036,-0.067174955,0.023382307,-0.068193926,0.01537101,-0.066420664,-0.058880368,0.078870139
Sept-21,-0.058697827,0.051549791,0.093431738,0.008544892,0.037876474,0.074328188,0.018414831,0.016972797,0.072034783,0.096055763
Oct-21,-0.0443414,-0.035956935,-0.078287166,-0.04266945,-0.065100948,-0.069540536,-0.003868866,0.228395062,-0.058828017,-0.071816349
Nov-21,0.017538539,0.080631754,0.004094596,0.09709485,-0.003022099,0.128884652,0.095952576,0.099013586,0.028869661,0.02256016
Dec-21,-0.005364594,0.046889632,-0.072853222,0.007131584,-0.061572466,0.03040027,-0.03215578,-0.107705334,-0.033726246,0.24137931
Jan-22,0.025469437,0.026931187,-0.03775234,-0.044808172,-0.045760431,0.020160629,-0.05658123,-0.109128867,-0.033259733,0.032385466
Feb-22,-0.067400409,0.097869031,-0.032787366,0.076927751,-0.03864598,-0.003856041,0.010254525,0.102897316,0.101804767,0.05317521
Mar-22,-0.222767624,-0.085234196,-0.074553166,0.018224905,-0.124413146,0.042096774,0.007602718,-0.052153757,0.027331057,0.032207289
Apr-22,-0.117172803,-0.021218598,0.069920456,-0.005153497,0.107825067,-0.019037301,0.01224113,0.08090483,-0.15922755,0.126099707
May-22,0.040487062,-0.135957972,-0.091265106,-0.011251601,-0.148377827,-0.007415589,-0.021133183,-0.011500754,-0.054806629,-0.107916667
Jun-22,0.165228204,0.10101824,0.122449667,-0.016844121,0.024420567,0.020028612,0.066793584,-0.036620256,0.086114449,0.13183092
Jul-22,0.005900446,-0.065868263,-0.002159633,-0.07552143,-0.014129681,-0.038335671,-0.042108061,-0.104533756,0.003787242,-0.013824409
Aug-22,-0.244430577,-0.049074074,-0.119097003,0.012520144,-0.081157127,-0.092205477,-0.085381322,-0.032500553,-0.021501531,-0.086619939
Sept-22,0.17699042,0.105123212,0.175601433,0.06494858,0.204593301,0.06836844,0.181676346,0.063756856,0.097379542,0.269155881
Oct-22,0.255210161,0.079670609,0.120867319,0.023164913,0.097712107,0.062823726,0.000476784,0.076906552,0.070891535,0.004782962
Nov-22,0.064903846,-0.0304457,-0.110760067,-0.00758427,-0.029526704,0,-0.033945526,0.02214243,-0.069741488,-0.009340758
Dec-22,0.118168933,0.008481709,0.065321218,-0.074893858,0.043698732,-0.036000629,0.014685235,-0.138173302,0.014669011,0.051767906
Jan-23,-0.053755869,-0.020351823,-0.038708619,-0.062171093,0.024221206,-0.029517286,-0.013051608,-0.08129529,-0.012094369,-0.052581674
Feb-23,0.053981642,0.011763549,-0.069785298,0.011353256,-0.090966167,0.042345824,0.059489978,0.005669214,0.037430186,-0.002274588
Mar-23,-0.026596997,0.064060628,0.049922045,0.056129032,0.060854885,0.034177011,0.057723257,-0.046813725,0.023872064,0.079153748
Apr-23,-0.005222942,-0.022736265,-0.056894945,-0.052779475,-0.018301505,-0.069992206,-0.035976331,-0.022370789,-0.027156676,-0.136555687
May-23,0.02654351,0.062040613,-0.004198827,0.067457758,0.071697001,0.009386524,0.046648662,-0.035244608,0.070197442,0.049618321
Jun-23,0.13113279,0.032140762,0.10333602,0.012143548,0.086083608,0.028395882,-0.0174592,-0.016902944,0.017050053,-9.32E-05
Jul-23,-0.06204731,0.023411751,-0.079130019,-0.034919119,-0.073626234,-0.033909252,-0.041098226,-0.01885746,0.017203361,0.036833271
Aug-23,-0.144400304,-0.027484731,-0.012633121,-0.036677387,-0.008952368,-0.064348989,-0.062991286,-0.062464669,-0.016480698,0.057469197
Sept-23,-0.025354758,-0.025606623,-0.061686807,-0.047576244,-0.04109778,0.009110397,-0.004820832,-0.078685559,0.021759724,-0.099761864
Oct-23,0.239856546,0.0546978,0.124930009,0.042604827,0.122393212,0.034519384,0.075027654,-0.002945026,-0.047244788,-0.0293812
Nov-23,0.125329189,-0.009277778,0.129501669,0.013448856,0.08982573,0.008384668,0.052050809,-0.0551362,0.012590541,-0.026863928
Dec-23,-0.190362925,0.075926653,-0.004562304,0.013780783,0.025044092,0.0095028,-0.012782031,-0.059395623,0.04820788,0.028305661
