Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM,LLY,V,CAT,BAC,GE,PG,ABBV,HD,PM,MRK
Dec-18,0.19572093,0.006660789,0.185333732,0.031228206,0.060233559,0.016473073,0.006814214,-0.027490454,0.028770004,0.074644376,0.035776005,0.023268092,0.047926371,0.155438312,0.342139965,0.049499599,-0.129081258,0.068152665,0.149191114,-0.025912837
Jan-19,0.140915928,-0.020628588,-0.006615827,0.026750827,0.008309179,-0.057968003,0.028302942,0.021200035,0.032974361,0.078466157,0.053645923,0.097103927,0.031390752,0.021426084,0.063543317,0.021561126,-0.013077632,0.008772411,0.133211693,0.092167217
Feb-19,-0.133057551,-0.002036761,-0.023945094,0.023053279,-0.029992334,0.033524482,0.032963446,-0.020299998,-0.014747108,0.022396558,0.027476392,0.054482903,-0.013470154,-0.051237957,-0.038498526,0.055809232,0.017036831,0.036458896,0.016678133,0.02312706
Mar-19,-0.009779246,0.078749564,0.072555862,0.010086558,0.146399289,0.046948357,0.040389679,-0.043795983,0.054445289,-0.006435644,-0.098027082,0.052756195,0.029005775,0.10837259,0.018018019,0.023354159,-0.014890148,0.061545665,-0.02070372,-0.053625065
Apr-19,-0.095528079,-0.089012967,-0.113782051,-0.071175637,-0.086945282,0.001426824,0.003543048,0.022410004,-0.013614472,-0.118460389,-0.009398483,-0.018852953,-0.140654145,-0.13015041,-0.071779776,-0.033527419,-0.033757404,-0.067992101,-0.108941781,0.006352397
May-19,0.065571851,0.079779151,0.121157324,0.061990088,0.055115138,0.036433951,0.047359661,0.043352329,0.089214208,0.082803448,-0.04441954,0.075745373,0.13755109,0.090225548,0.112288162,0.065494098,-0.052014052,0.095443743,0.018151194,0.058578484
Jun-19,-0.062718057,-0.036309049,0.075904203,-0.065048823,0.037567084,0.03358209,0.014735626,-0.103416031,-0.000993766,-0.029622863,-0.016608033,0.025641008,-0.033898271,0.057931045,-0.004761901,0.076516181,-0.083883366,0.027503973,0.064688678,-0.010256402
Jul-19,0.067149305,-0.009833033,-0.073683732,-0.01428352,-0.052931034,0.045791374,0.034405847,-0.084707646,0.035150708,-0.079074771,0.0368977,0.015842738,-0.096225399,-0.103324643,-0.210526293,0.018553053,-0.013209319,0.066545,-0.137782612,0.041932753
Aug-19,0.044988876,0.022663586,0.016281693,0.007946401,0.071272529,-0.010901163,-0.014956187,0.010688554,0.038683201,0.031103972,-0.010091169,-0.048722555,0.061428551,0.060341688,0.083636349,0.034517124,0.151810217,0.018033437,0.053266808,-0.026483235
Sept-19,-0.106604989,0.021920969,0.02967717,0.020559592,0.061432577,-0.000183688,-0.083880583,0.06790997,-0.011964226,-0.043053392,0.018957302,0.039823303,0.090966715,0.071991785,0.116331052,0.001045223,0.050581112,0.011033521,0.072566866,0.029460739
Oct-19,0.077285164,0.03631574,0.037351204,0.041275371,0.054755043,-0.018923388,-0.011286223,0.003909515,0.015606491,0.008287702,0.029837662,0.031588918,0.050290221,0.065558017,0.129258539,-0.019677171,0.10282841,-0.059979569,0.018295651,0.006000395
Nov-19,-0.110382872,0.028143441,0.038762141,0.060949887,0.057984214,0.036516854,0.0160942,0.017135424,-0.002100951,0.024218406,0.119982909,0.018372985,0.020382761,0.057022855,-0.009760445,0.023267279,0.009232845,-0.009659379,0.026046015,0.043243864
Dec-19,-0.022992387,-0.009139073,0.034010351,0.020566258,-0.050502152,0.055103884,0.082789333,-0.049514414,-0.036601713,-0.109773574,0.062466767,0.058914357,-0.110576838,-0.067859151,0.115591417,-0.002241784,-0.084933411,0.044509575,-0.028087901,-0.060582692
